ticker,order,metric,full_test,regime_calm,regime_turbulent
NSEI,"LSTM(20→64,32)→1",rmse,0.008758654829774833,0.008758654829774833,
NSEI,"LSTM(20→64,32)→1",mae,0.006163475625211791,0.006163475625211791,
NSEI,"LSTM(20→64,32)→1",mape,11077778641.39244,11077778641.39244,
NSEI,"LSTM(20→64,32)→1",da,0.5249110320284698,0.5249110320284698,
SENSEX,"LSTM(20→64,32)→1",rmse,0.008711435781814172,0.008711435781814172,
SENSEX,"LSTM(20→64,32)→1",mae,0.006135649325969637,0.006135649325969637,
SENSEX,"LSTM(20→64,32)→1",mape,9893552916.338606,9893552916.338606,
SENSEX,"LSTM(20→64,32)→1",da,0.5088967971530249,0.5088967971530249,
TCS,"LSTM(20→64,32)→1",rmse,0.013678906397975407,0.013678906397975407,
TCS,"LSTM(20→64,32)→1",mae,0.009876068231767218,0.009876068231767218,
TCS,"LSTM(20→64,32)→1",mape,16300284641.308857,16300284641.308857,
TCS,"LSTM(20→64,32)→1",da,0.45729537366548045,0.45729537366548045,
HDFCBANK,"LSTM(20→64,32)→1",rmse,0.012982305650710839,0.012982305650710839,
HDFCBANK,"LSTM(20→64,32)→1",mae,0.00913380244351141,0.00913380244351141,
HDFCBANK,"LSTM(20→64,32)→1",mape,3030697044.826317,3030697044.826317,
HDFCBANK,"LSTM(20→64,32)→1",da,0.5,0.5,
RELIANCE,"LSTM(20→64,32)→1",rmse,0.013735239031248726,0.013735239031248726,
RELIANCE,"LSTM(20→64,32)→1",mae,0.009917075130675735,0.009917075130675735,
RELIANCE,"LSTM(20→64,32)→1",mape,15849163737.026709,15849163737.026709,
RELIANCE,"LSTM(20→64,32)→1",da,0.5088967971530249,0.5088967971530249,
ITC,"LSTM(20→64,32)→1",rmse,0.012198416270747003,0.012198416270747003,
ITC,"LSTM(20→64,32)→1",mae,0.008680547823149531,0.008680547823149531,
ITC,"LSTM(20→64,32)→1",mape,51311546004.948944,51311546004.948944,
ITC,"LSTM(20→64,32)→1",da,0.45907473309608543,0.45907473309608543,
MARUTI,"LSTM(20→64,32)→1",rmse,0.014290406538703091,0.014290406538703091,
MARUTI,"LSTM(20→64,32)→1",mae,0.010360205376678583,0.010360205376678583,
MARUTI,"LSTM(20→64,32)→1",mape,9515128927.854368,9515128927.854368,
MARUTI,"LSTM(20→64,32)→1",da,0.48576512455516013,0.48576512455516013,
RELIANCE,LSTM_multivariate,rmse,0.013721984375372436,0.013721984375372436,
RELIANCE,LSTM_multivariate,mae,0.009909773041012078,0.009909773041012078,
RELIANCE,LSTM_multivariate,mape,10595271356.70764,10595271356.70764,
RELIANCE,LSTM_multivariate,da,0.5106761565836299,0.5106761565836299,
