ticker,order,metric,full_test,regime_calm,regime_turbulent
NSEI,"(0, 0, 0)",rmse,0.008748594989779562,0.008748594989779562,
NSEI,"(0, 0, 0)",mae,0.006156335817491015,0.006156335817491015,
NSEI,"(0, 0, 0)",mape,8671363087.191444,8671363087.191444,
NSEI,"(0, 0, 0)",da,0.5249110320284698,0.5249110320284698,
SENSEX,"(1, 0, 0)",rmse,0.008693194512980057,0.008693194512980057,
SENSEX,"(1, 0, 0)",mae,0.0061322764126362905,0.0061322764126362905,
SENSEX,"(1, 0, 0)",mape,12650922535.232536,12650922535.232536,
SENSEX,"(1, 0, 0)",da,0.5088967971530249,0.5088967971530249,
TCS,"(0, 0, 0)",rmse,0.013646982553449724,0.013646982553449724,
TCS,"(0, 0, 0)",mae,0.009839110154340634,0.009839110154340634,
TCS,"(0, 0, 0)",mape,10599234549.704079,10599234549.704079,
TCS,"(0, 0, 0)",da,0.45729537366548045,0.45729537366548045,
HDFCBANK,"(2, 0, 2)",rmse,0.013055173355287206,0.013055173355287206,
HDFCBANK,"(2, 0, 2)",mae,0.009189907699979247,0.009189907699979247,
HDFCBANK,"(2, 0, 2)",mape,6729753403.669097,6729753403.669097,
HDFCBANK,"(2, 0, 2)",da,0.4928825622775801,0.4928825622775801,
RELIANCE,"(0, 0, 0)",rmse,0.013744623423411867,0.013744623423411867,
RELIANCE,"(0, 0, 0)",mae,0.009924933344601209,0.009924933344601209,
RELIANCE,"(0, 0, 0)",mape,21661176519.25874,21661176519.25874,
RELIANCE,"(0, 0, 0)",da,0.5088967971530249,0.5088967971530249,
ITC,"(0, 0, 0)",rmse,0.012048691668901584,0.012048691668901584,
ITC,"(0, 0, 0)",mae,0.008487786773261348,0.008487786773261348,
ITC,"(0, 0, 0)",mape,17011304434.784628,17011304434.784628,
ITC,"(0, 0, 0)",da,0.45907473309608543,0.45907473309608543,
MARUTI,"(0, 0, 0)",rmse,0.014290345339633104,0.014290345339633104,
MARUTI,"(0, 0, 0)",mae,0.01036117290603553,0.01036117290603553,
MARUTI,"(0, 0, 0)",mape,9639879213.690302,9639879213.690302,
MARUTI,"(0, 0, 0)",da,0.48576512455516013,0.48576512455516013,
