Date,residual
2016-04-12,0.005900648036543006
2016-04-13,0.016748430085830608
2016-04-18,-0.002121314716453593
2016-04-20,-0.027019786644121593
2016-04-21,0.002803604024262607
2016-04-22,-0.003016238337467693
2016-04-25,-0.02235285073683809
2016-04-26,-0.0008519283099213972
2016-04-27,0.001505296916642107
2016-04-28,-0.02342077178080349
2016-04-29,-0.015046837165636293
2016-05-02,0.003414322657702407
2016-05-03,-0.012262659103262394
2016-05-04,0.0014531615315637068
2016-05-05,-0.003818993509621993
2016-05-06,-0.007381859433741594
2016-05-09,0.013596675386300206
2016-05-10,-0.001460618515028393
2016-05-11,-0.008204511780510593
2016-05-12,0.01678053389948691
2016-05-13,-0.015767220433470893
2016-05-16,-0.003152698208375593
2016-05-17,-0.007893105390421894
2016-05-18,0.0005426631747641069
2016-05-19,-0.02103971958606639
2016-05-20,-0.018934806830272592
2016-05-23,-0.005407060402697892
2016-05-24,0.010272868611973806
2016-05-25,0.010464894582622807
2016-05-26,-0.0054846045093235925
2016-05-27,0.028088055295245908
2016-05-30,-0.007076012927086593
2016-05-31,-0.012164640761477994
2016-06-01,-0.0053479149174604935
2016-06-02,0.0018739693266373067
2016-06-03,0.002648249430896907
2016-06-06,-0.005967741033665593
2016-06-07,-0.0006393070762201931
2016-06-08,-0.001896126928921993
2016-06-09,0.016811475854884808
2016-06-10,0.0047975308493287076
2016-06-13,0.003593813419067507
2016-06-14,-0.005856762522704194
2016-06-15,0.007615737538091307
2016-06-16,-0.009366433551874394
2016-06-17,-0.002336206340628693
2016-06-20,0.014671058051532206
2016-06-21,-0.004036652814359193
2016-06-22,-0.0076096473294118925
2016-06-23,-0.0009519489560486385
2016-06-24,-0.03092567978464089
2016-06-27,0.003503717978749507
2016-06-28,0.0013460760695965068
2016-06-29,0.008555178879097507
2016-06-30,0.001423144903380707
2016-07-01,0.0035261753431513067
2016-07-04,0.012618452890591407
2016-07-05,0.005564219329552306
2016-07-07,-0.006150805564428393
2016-07-08,-0.010563877223965793
2016-07-11,0.013407484201482306
2016-07-12,0.010021383710778606
2016-07-13,0.004416640706797707
2016-07-14,-0.004724942066823193
2016-07-15,0.006337220811479407
2016-07-18,-0.006796733132492093
2016-07-19,0.010511819051869906
2016-07-20,0.004195058892641006
2016-07-21,-0.01731051618184149
2016-07-22,0.007509928874298907
2016-07-25,0.006853108372921607
2016-07-26,0.00036913892842510673
2016-07-27,-0.011651354345966494
2016-07-28,0.012092692679386606
2016-07-29,-0.012119450198164294
2016-08-01,-0.006236047689262694
2016-08-02,0.002362615231774507
2016-08-03,-0.01968816412424349
2016-08-04,-0.0018573734914504932
2016-08-05,0.022243022975101306
2016-08-08,0.011810021562419806
2016-08-09,0.0005067278883127068
2016-08-10,-0.02749584750124789
2016-08-11,0.009457203242900907
2016-08-12,0.020271426639695108
2016-08-16,-0.011480035670518694
2016-08-17,-0.012283767931998993
2016-08-18,0.0037756550423252064
2016-08-19,-0.003999800308116093
2016-08-22,-0.003911015084803193
2016-08-23,-0.002285472916045593
2016-08-24,0.008995978618499507
2016-08-25,-0.008573712812441294
2016-08-26,0.013996803631923207
2016-08-29,0.02744141660997531
2016-08-30,0.007527027302752407
2016-08-31,-0.0069206018047660925
2016-09-01,-0.03038793805195989
2016-09-02,-0.016421242774763194
2016-09-06,0.005541871423145106
2016-09-07,-0.003109555521492193
2016-09-08,0.014457288171677707
2016-09-09,0.009830714077044507
2016-09-12,0.0009640700408652069
2016-09-14,-0.002574610169080693
2016-09-15,0.018296163385452906
2016-09-16,0.008956196768287307
2016-09-19,0.005447657900226806
2016-09-20,-0.008505563024836993
2016-09-21,-0.002717983723500593
2016-09-22,0.014553653464313906
2016-09-23,0.011737463713631907
2016-09-26,0.003080871491760107
2016-09-27,0.0020749949916484068
2016-09-28,-0.01893750334887479
2016-09-29,-0.017729136383947793
2016-09-30,0.009534370957654206
2016-10-03,0.005537592867432706
2016-10-04,0.0042657156292039075
2016-10-05,-0.007260461172519394
2016-10-06,0.01855234238770081
2016-10-07,-0.0025227394519191934
2016-10-10,-0.012373245801636193
2016-10-13,-0.03731096553250259
2016-10-14,0.01830511641332041
2016-10-17,-0.01680182835141869
2016-10-18,0.018196094594029908
2016-10-19,0.004863410557573007
2016-10-20,-0.0007170516604642932
2016-10-21,-0.02260512356846259
2016-10-24,-0.001747126481420893
2016-10-25,-0.003207754366471293
