Date,NSEI,SENSEX,TCS,HDFCBANK,RELIANCE,ITC,MARUTI
2016-04-12,0.004882901538488582,0.00492068855198724,0.004577522707824855,-0.00745088071325295,0.006801674046136519,-0.014931175808992947,0.026957103659942305
2016-04-13,0.018188863004862554,0.018954200765492146,0.003191788938333495,0.01748496367702579,0.01764945609542412,0.027080368213879602,0.04323570031138324
2016-04-18,0.008150934704246993,0.007371647473727094,-0.002556939286717963,0.0055772506984475,-0.0012202887068601953,0.012450330581422087,-0.003395729147502635
2016-04-20,6.292661701934321e-06,0.0010770431627005195,-0.027928647971410925,0.009196294936214322,-0.026118760634528115,0.00029834325342914525,-0.013236141357802822
2016-04-21,-0.0003412181075166387,0.0013997674374852664,-0.01064681483106611,-0.006121578498566649,0.0037046300338561267,-0.01668095033998096,0.009558905111255456
2016-04-22,-0.001612765902793356,-0.0016334667950594906,-0.0030360784216645342,0.0009162777586304571,-0.0021152123278742607,-0.012657390811946279,0.02945167963957651
2016-04-25,-0.005617511031740463,-0.006180919971010113,0.014050166266098785,0.0010066939339772318,-0.021451824727244606,-0.014998443729118627,-0.023357388707001547
2016-04-26,0.013605234565984503,0.012706498766085872,0.015604252784844341,0.018667568904037424,4.9097699672095985e-05,0.019897437964740305,0.03779643333455773
2016-04-27,0.0021640210559947803,0.002182325045495759,0.008518679073611146,0.009249022124550699,0.00240632292623566,0.018610232155672257,-0.003143277186449467
2016-04-28,-0.016762715869971245,-0.017846200281766755,0.006608613417253828,-0.009159403372434483,-0.022519745771210076,-0.03245029818520262,-0.02930255830672479
2016-04-29,0.00032487693441218823,0.00013745559794031692,0.0030614399415869187,0.016382895622466087,-0.014145811156042853,0.006328617588901686,0.012383103397889172
2016-05-02,-0.005608183374212317,-0.006647222998486413,-0.0034770183110168773,-0.013066815391331588,0.004315348667295993,-0.011762964026075906,0.00949451177840821
2016-05-03,-0.007574173857564759,-0.00818181423641029,-0.01942137064687266,0.0003131580374589049,-0.011361633093668999,-0.0160079525593666,-0.0028493511919194248
2016-05-04,-0.005235080380289858,-0.005085054270994149,-4.0601515189031545e-05,0.008328332521556625,0.0023541875411572377,-0.010815982993831241,-0.002201334590372639
2016-05-05,0.003749531907510928,0.006372853569638792,-0.00311247453290342,0.004381361823839747,-0.0029179675000285954,0.015865514230315014,0.006615654031635998
2016-05-06,-0.00026502182418397524,-0.0013353324555467339,0.001254188335079398,-0.01123488367367731,-0.00648083342414818,0.0001575183174562511,-0.004676084106943534
2016-05-09,0.017000904277693962,0.01808310271082547,0.015704036146950706,0.019239492978742945,0.014497701395893792,0.02210199460213591,0.007188102950349773
2016-05-10,0.002761231617482096,0.003251758172913455,0.0041109160294627856,0.003061625792801337,-0.0005595925054349138,-0.004010207146099454,-0.0004421559579519396
2016-05-11,-0.004950200558544893,-0.006833248590094598,-0.001824572413934078,-0.005342126367278155,-0.007303485770917106,-0.01714784052285001,0.01170041964031121
2016-05-12,0.006546342052207166,0.0075194574111616674,0.018842231067171866,0.009003862523172756,0.01768155990908049,0.0006284823631741432,-0.009258524207746532
2016-05-13,-0.010881223351539404,-0.011726016413147633,-0.016819319314897108,-0.007161686096416098,-0.014866194423877488,0.003607753874795172,-0.0020648789689161617
2016-05-16,0.005849866346158805,0.006400146742135959,0.010937323514757402,0.01901374933207034,-0.0022516721987821953,0.030985135745813075,0.009148829190937846
2016-05-17,0.003809165638109846,0.004681568086956744,0.007439134672732273,-0.00807339889144032,-0.006992079380828464,0.003334007362986391,0.0176452493205268
2016-05-18,-0.002614077814669713,-0.002680747042042242,-0.007458732958681047,-0.011159468204503753,0.001443689184357666,0.006634238176393303,-0.009102763523864965
2016-05-19,-0.011083861385825955,-0.011932150908092964,0.002290396962806085,-0.0011843925457899473,-0.02013869357647291,-0.02387762360315726,0.002983976574313374
