Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,,
2016-04-11,246.20220947265625,267.73748779296875,268.5249938964844,260.7124938964844,265.07501220703125,4049620
2016-04-12,244.37460327148438,265.75,267.75,264.8125,267.3999938964844,4941480
2016-04-13,248.68505859375,270.4375,271.23748779296875,267.375,268.0,4974604
2016-04-18,250.07591247558594,271.95001220703125,273.0,267.8999938964844,270.875,4117068
2016-04-20,252.38629150390625,274.4624938964844,275.0,270.88751220703125,272.9750061035156,3821352
2016-04-21,250.84600830078125,272.7875061035156,276.2875061035156,272.25,273.75,8191728
2016-04-22,251.07595825195312,273.0375061035156,275.2124938964844,271.29998779296875,272.375,7809320
2016-04-25,251.32884216308594,273.3125,275.0,271.125,275.0,5561960
2016-04-26,256.0646057128906,278.4624938964844,278.75,273.125,273.75,7053796
2016-04-27,258.4439392089844,281.04998779296875,281.25,277.25,277.4624938964844,5763636
2016-04-28,256.0875549316406,278.48748779296875,284.17498779296875,277.5874938964844,281.04998779296875,8089584
2016-04-29,260.31756591796875,283.0874938964844,284.0,276.54998779296875,278.45001220703125,5611940
2016-05-02,256.93817138671875,279.4125061035156,282.5,279.0,281.9375,3862716
2016-05-03,257.0186462402344,279.5,283.75,278.2875061035156,280.4750061035156,4695296
2016-05-04,259.1681213378906,281.8374938964844,283.625,278.5625,279.375,5292328
2016-05-05,260.3061218261719,283.07501220703125,283.6875,280.67498779296875,282.0,5214248
2016-05-06,257.3979797363281,279.9125061035156,283.0625,279.3125,283.0,2733152
2016-05-09,262.39813232421875,285.3500061035156,286.23748779296875,279.75,280.0,6953180
2016-05-10,263.2027282714844,286.2250061035156,286.875,284.0249938964844,285.875,5453000
2016-05-11,261.8004150390625,284.70001220703125,286.25,282.42498779296875,283.67498779296875,6147372
2016-05-12,264.16827392578125,287.2749938964844,288.0,283.125,286.0,4221688
2016-05-13,262.28314208984375,285.2250061035156,287.0,282.5,287.0,5045316
2016-05-16,267.3178405761719,290.70001220703125,291.4750061035156,283.13751220703125,286.25,4518768
2016-05-17,265.1683654785156,288.36248779296875,292.3125,287.82501220703125,291.26251220703125,4295424
2016-05-18,262.2256774902344,285.1625061035156,287.75,282.875,287.75,4162644
2016-05-19,261.915283203125,284.82501220703125,285.67498779296875,283.0,285.0249938964844,3855796
2016-05-20,262.28314208984375,285.2250061035156,287.125,283.3999938964844,284.98748779296875,2016632
2016-05-23,261.3291015625,284.1875,287.48748779296875,283.29998779296875,285.48748779296875,3463532
2016-05-24,262.06475830078125,284.98748779296875,285.9125061035156,283.88751220703125,284.6000061035156,3259468
2016-05-25,269.7316589355469,293.32501220703125,293.98748779296875,286.57501220703125,286.57501220703125,5767348
2016-05-26,272.0190734863281,295.8125,297.2250061035156,291.5625,294.0249938964844,13705560
2016-05-27,272.8351745605469,296.70001220703125,297.5,294.17498779296875,295.8125,5775184
2016-05-30,271.2144470214844,294.9375,298.75,294.5249938964844,296.75,3814532
2016-05-31,271.708740234375,295.4750061035156,296.4750061035156,294.3500061035156,296.4750061035156,5515640
2016-06-01,270.15692138671875,293.7875061035156,295.73748779296875,292.75,295.73748779296875,5675632
2016-06-02,270.11102294921875,293.73748779296875,295.1499938964844,292.75,293.67498779296875,7910616
2016-06-03,269.3753356933594,292.9375,296.25,292.26251220703125,295.0249938964844,4524420
2016-06-06,269.2259216308594,292.7749938964844,295.6000061035156,292.51251220703125,294.0,5547308
2016-06-07,269.8235778808594,293.42498779296875,295.0,291.9125061035156,294.23748779296875,5628504
2016-06-08,267.2718200683594,290.6499938964844,294.5,290.25,293.95001220703125,4742812
2016-06-09,266.5361633300781,289.8500061035156,291.04998779296875,288.125,290.625,4648184
2016-06-10,266.98443603515625,290.3374938964844,293.17498779296875,289.04998779296875,289.6000061035156,6322312
2016-06-13,265.0418701171875,288.2250061035156,291.23748779296875,287.76251220703125,288.6875,3323236
2016-06-14,264.8004455566406,287.9624938964844,289.25,286.0625,288.75,3828768
2016-06-15,268.8695983886719,292.38751220703125,292.7250061035156,288.29998779296875,288.75,3045824
2016-06-16,267.1683044433594,290.5375061035156,292.2124938964844,288.8374938964844,291.63751220703125,4727768
2016-06-17,268.9729919433594,292.5,294.5,291.38751220703125,291.75,3761652
2016-06-20,269.44427490234375,293.01251220703125,294.8125,289.70001220703125,289.75,2742764
2016-06-21,268.2028503417969,291.6625061035156,293.86248779296875,290.29998779296875,293.75,2670968
2016-06-22,269.3178405761719,292.875,293.75,291.5,291.5,3803840
2016-06-23,273.59381103515625,297.5249938964844,297.9624938964844,291.875,292.45001220703125,3926732
2016-06-24,267.11083984375,290.4750061035156,292.9750061035156,286.75,289.9624938964844,11173964
2016-06-27,266.6625671386719,289.98748779296875,292.25,288.26251220703125,290.5,4163788
2016-06-28,268.2718200683594,291.73748779296875,293.2749938964844,287.5,290.3125,4034980
2016-06-29,270.7866516113281,292.07501220703125,292.375,289.92498779296875,291.25,5420668
2016-06-30,272.67559814453125,294.11248779296875,295.0,290.5375061035156,292.75,16278892
2016-07-01,272.22369384765625,293.625,296.25,292.95001220703125,295.0,4304876
2016-07-04,271.8296203613281,293.20001220703125,294.875,292.8500061035156,294.54998779296875,7249852
2016-07-05,270.1607971191406,291.3999938964844,293.57501220703125,290.5,293.20001220703125,2136328
2016-07-07,274.8079833984375,296.4125061035156,297.1875,290.2250061035156,291.9750061035156,4832616
2016-07-08,272.3047180175781,293.7124938964844,296.3999938964844,292.8125,296.2749938964844,3118868
2016-07-11,278.0760192871094,299.9375,300.4750061035156,295.26251220703125,296.5,5102532
2016-07-12,278.63232421875,300.5375061035156,302.4750061035156,298.88751220703125,302.4750061035156,7046032
2016-07-13,277.6125183105469,299.4375,300.48748779296875,298.32501220703125,299.95001220703125,6687072
2016-07-14,278.2151184082031,300.0874938964844,300.5375061035156,298.04998779296875,300.25,3459668
2016-07-15,283.62713623046875,305.92498779296875,306.5,298.7749938964844,300.95001220703125,5774216
2016-07-18,284.4963073730469,306.86248779296875,309.625,305.6625061035156,306.25,4438484
2016-07-19,282.3871154785156,304.5874938964844,307.6875,303.4624938964844,307.25,2586004
2016-07-20,285.59722900390625,308.04998779296875,309.625,305.4375,305.75,4690332
2016-07-21,284.7628479003906,307.1499938964844,309.9750061035156,305.625,307.67498779296875,9112904
2016-07-22,285.27276611328125,307.70001220703125,308.6625061035156,305.375,308.3374938964844,5620272
2016-07-25,289.0160217285156,311.73748779296875,312.36248779296875,306.75,308.25,9872884
2016-07-26,287.1269836425781,309.70001220703125,311.4125061035156,308.7875061035156,310.6000061035156,5665992
2016-07-27,286.6982421875,309.23748779296875,311.88751220703125,307.5,310.25,10734736
2016-07-28,289.3636779785156,312.11248779296875,312.8125,308.88751220703125,309.5,10646528
2016-07-29,288.8421325683594,311.54998779296875,312.5,308.75,312.0,3395676
2016-08-01,287.938232421875,310.57501220703125,314.73748779296875,306.9125061035156,312.25,5560864
2016-08-02,288.16998291015625,310.82501220703125,314.11248779296875,310.1000061035156,311.75,5329396
2016-08-03,287.5093994140625,310.11248779296875,312.48748779296875,307.75,310.2749938964844,4733876
2016-08-04,287.6368713378906,310.25,311.67498779296875,308.3999938964844,311.6499938964844,4662880
2016-08-05,289.5491027832031,312.3125,313.9125061035156,310.4375,311.8500061035156,5784912
2016-08-08,289.6302185058594,312.3999938964844,313.75,311.13751220703125,313.2250061035156,4728776
2016-08-09,289.0739440917969,311.79998779296875,313.2250061035156,309.42498779296875,313.2250061035156,4210856
2016-08-10,284.3688659667969,306.7250061035156,312.73748779296875,304.9375,311.25,3619720
2016-08-11,284.68170166015625,307.0625,308.75,305.5,306.70001220703125,2856072
2016-08-12,284.7860107421875,307.17498779296875,308.75,304.8500061035156,307.76251220703125,4641496
2016-08-16,284.4615478515625,306.82501220703125,309.61248779296875,303.45001220703125,308.25,3468568
2016-08-17,286.22308349609375,308.7250061035156,309.375,306.5,308.3500061035156,5511036
2016-08-18,290.3023376464844,313.125,313.7250061035156,308.63751220703125,309.5,6111656
2016-08-19,289.05072021484375,311.7749938964844,312.5,310.36248779296875,312.5,4110636
2016-08-22,289.7925109863281,312.57501220703125,313.61248779296875,310.25,311.26251220703125,5501292
2016-08-23,290.05902099609375,312.86248779296875,313.5,311.51251220703125,312.75,5314524
2016-08-24,292.4579162597656,315.45001220703125,316.04998779296875,311.76251220703125,313.01251220703125,5570936
2016-08-25,291.70465087890625,314.63751220703125,316.70001220703125,313.57501220703125,316.0,8729888
2016-08-26,291.3685607910156,314.2749938964844,315.4750061035156,313.4750061035156,315.0,2521136
2016-08-29,286.9647216796875,309.5249938964844,313.875,309.04998779296875,313.875,2944184
2016-08-30,294.04559326171875,317.1625061035156,317.625,310.98748779296875,311.2749938964844,9867608
2016-08-31,299.2721862792969,322.79998779296875,323.75,316.375,317.25,11161364
2016-09-01,297.5338134765625,320.92498779296875,322.5,318.8500061035156,322.0,5224676
2016-09-02,297.8583068847656,321.2749938964844,322.25,320.2875061035156,321.375,3955188
2016-09-06,301.4045715332031,325.1000061035156,325.9750061035156,322.51251220703125,322.51251220703125,5508884
2016-09-07,298.2407531738281,321.6875,326.25,320.7749938964844,325.25,4016444
2016-09-08,298.85498046875,322.3500061035156,323.8125,320.8999938964844,322.5,2905380
2016-09-09,299.0867614746094,322.6000061035156,323.625,319.57501220703125,322.5,4013768
2016-09-12,296.653076171875,319.9750061035156,321.1000061035156,317.875,318.67498779296875,3985728
2016-09-14,294.2309875488281,317.36248779296875,319.25,316.3500061035156,318.75,3849508
2016-09-15,296.5835876464844,319.8999938964844,320.9750061035156,317.4624938964844,318.0,3501812
2016-09-16,300.8134765625,324.4624938964844,326.125,320.95001220703125,320.95001220703125,6525816
2016-09-19,299.02880859375,322.5375061035156,325.625,322.0,324.25,5894832
2016-09-20,298.6347961425781,322.11248779296875,323.75,321.01251220703125,323.1625061035156,3778248
2016-09-21,299.68939208984375,323.25,324.5,321.9750061035156,323.0,4256400
2016-09-22,302.91107177734375,326.7250061035156,329.23748779296875,325.13751220703125,326.25,6555800
2016-09-23,304.25543212890625,328.17498779296875,329.61248779296875,325.375,326.51251220703125,4876808
2016-09-26,300.4194641113281,324.0375061035156,327.2250061035156,323.42498779296875,326.5249938964844,5576772
2016-09-27,300.85986328125,324.51251220703125,326.5375061035156,323.7124938964844,324.75,4056812
2016-09-28,300.21087646484375,323.8125,325.0,322.25,324.9750061035156,4989652
2016-09-29,296.0968017578125,319.375,326.5,316.98748779296875,324.48748779296875,16450012
2016-09-30,295.01898193359375,318.2124938964844,320.25,316.8500061035156,319.2749938964844,4138428
2016-10-03,298.3450622558594,321.79998779296875,322.4750061035156,319.1000061035156,320.25,3900548
2016-10-04,298.8897705078125,322.38751220703125,323.75,320.57501220703125,322.1499938964844,2775512
2016-10-05,298.0901184082031,321.5249938964844,325.01251220703125,319.1000061035156,324.5,3647020
2016-10-06,297.12823486328125,320.48748779296875,323.8999938964844,319.76251220703125,321.7749938964844,2895712
2016-10-07,296.8152770996094,320.1499938964844,321.9375,319.0625,321.0,3337464
2016-10-10,297.6844482421875,321.0874938964844,321.9750061035156,319.6875,321.25,4719312
2016-10-13,292.6780700683594,315.6875,319.75,314.11248779296875,319.75,4519356
2016-10-14,292.4579162597656,315.45001220703125,317.0,313.5,316.4375,4067116
2016-10-17,286.87200927734375,309.42498779296875,316.6000061035156,308.1875,316.375,5135360
2016-10-18,291.5423583984375,314.4624938964844,315.0,309.75,310.79998779296875,2610968
2016-10-19,291.6582336425781,314.5874938964844,315.75,312.0,315.2749938964844,3044904
2016-10-20,290.99761962890625,313.875,316.86248779296875,312.75,315.0625,3200356
2016-10-21,294.52069091796875,317.67498779296875,318.23748779296875,312.5,314.0,3956408
2016-10-24,292.8634948730469,315.88751220703125,319.2124938964844,315.26251220703125,317.9375,3255664
2016-10-25,289.7925109863281,312.57501220703125,317.0,311.01251220703125,317.0,5501796
2016-10-26,287.242919921875,309.82501220703125,316.25,308.76251220703125,310.8374938964844,5366540
2016-10-27,290.2096252441406,313.0249938964844,314.25,306.0375061035156,309.75,11623860
2016-10-28,291.820556640625,314.76251220703125,315.4750061035156,310.0249938964844,313.625,5320536
2016-11-01,291.99432373046875,314.95001220703125,315.9624938964844,311.76251220703125,314.0,3402416
