Date,HDFCBANK,ITC,MARUTI,NSEI,RELIANCE,SENSEX,TCS
2016-04-11,246.20220947265625,146.69082641601562,3176.101806640625,7671.39990234375,227.95428466796875,25022.16015625,991.4454345703124
2016-04-12,244.3746032714844,144.51683044433594,3262.884765625,7708.9501953125,229.51004028320312,25145.58984375,995.9942016601562
2016-04-13,248.68505859375,148.48387145996094,3407.052001953125,7850.4501953125,233.5967254638672,25626.75,999.1782836914062
2016-04-18,250.07591247558597,150.34410095214844,3395.502197265625,7914.7001953125,233.3118438720703,25816.359375,996.626708984375
2016-04-20,252.38629150390625,150.3889617919922,3350.85498046875,7914.75,227.2969207763672,25844.1796875,969.1773681640624
2016-04-21,250.84600830078125,147.90113830566406,3383.0390625,7912.0498046875,228.1405334472656,25880.380859375,958.9134521484376
2016-04-22,251.07595825195312,146.0408935546875,3484.156982421875,7899.2998046875,227.65847778320312,25838.140625,956.0065307617188
2016-04-25,251.32884216308597,143.86685180664062,3403.71923828125,7855.0498046875,222.8267974853516,25678.9296875,969.5333862304688
2016-04-26,256.0646057128906,146.7581024169922,3534.829833984375,7962.64990234375,222.83773803710935,26007.30078125,984.7808837890624
2016-04-27,258.4439392089844,149.51487731933594,3523.736328125,7979.89990234375,223.3746032714844,26064.119140625,993.2057495117188
2016-04-28,256.0875549316406,144.74095153808594,3421.97998046875,7847.25,218.4004821777344,25603.099609375,999.7911987304688
2016-04-29,260.31756591796875,145.6598663330078,3464.6181640625,7849.7998046875,215.3327789306641,25606.619140625,1002.856689453125
2016-05-02,256.93817138671875,143.95651245117188,3497.669677734375,7805.89990234375,216.26402282714844,25436.970703125,999.3757934570312
2016-05-03,257.0186462402344,141.67041015625,3487.7177734375,7747.0,213.82081604003903,25229.69921875,980.15380859375
2016-05-04,259.1681213378906,140.1463623046875,3480.048583984375,7706.5498046875,214.3247833251953,25101.73046875,980.114013671875
2016-05-05,260.3061218261719,142.38758850097656,3503.147705078125,7735.5,213.70030212402344,25262.2109375,977.0681762695312
2016-05-06,257.3979797363281,142.41001892089844,3486.804931640625,7733.4501953125,212.31982421875,25228.5,978.2943725585938
2016-05-09,262.39813232421875,145.5926055908203,3511.958740234375,7866.0498046875,215.4203948974609,25688.859375,993.77880859375
2016-05-10,263.2027282714844,145.00991821289062,3510.40625,7887.7998046875,215.2998809814453,25772.529296875,997.87255859375
2016-05-11,261.8004150390625,142.5445098876953,3551.720703125,7848.85009765625,213.7331695556641,25597.01953125,996.0535278320312
2016-05-12,264.16827392578125,142.63412475585938,3518.98876953125,7900.39990234375,217.54591369628903,25790.220703125,1014.9993286132812
2016-05-13,262.2831420898437,143.14964294433594,3511.72998046875,7814.89990234375,214.33575439453125,25489.5703125,998.0704956054688
2016-05-16,267.3178405761719,147.6545867919922,3544.005615234375,7860.75,213.8536834716797,25653.23046875,1009.046630859375
2016-05-17,265.1683654785156,148.14768981933594,3607.095458984375,7890.75,212.36361694335935,25773.609375,1016.5810546875
2016-05-18,262.2256774902344,149.13380432128906,3574.409912109375,7870.14990234375,212.67042541503903,25704.609375,1009.02685546875
2016-05-19,261.915283203125,145.61502075195312,3585.091796875,7783.39990234375,208.43035888671875,25399.720703125,1011.340576171875
2016-05-20,262.2831420898437,148.08042907714844,3601.845947265625,7749.7001953125,204.70526123046875,25301.900390625,1000.4043579101562
2016-05-23,261.3291015625,155.47657775878906,3573.45068359375,7731.0498046875,203.7849273681641,25230.359375,985.4336547851562
2016-05-24,262.06475830078125,156.01451110839844,3582.900390625,7748.85009765625,206.07476806640625,25305.470703125,976.039794921875
2016-05-25,269.7316589355469,159.60055541992188,3707.757080078125,7934.89990234375,208.43035888671875,25881.169921875,999.2767333984376
2016-05-26,272.0190734863281,162.4693603515625,3759.845458984375,8069.64990234375,207.4771881103516,26366.6796875,1008.07763671875
2016-05-27,272.8351745605469,161.05735778808594,3785.958251953125,8156.64990234375,213.5797882080078,26653.599609375,1017.5502319335938
